country,best_arima,mse,mape,corr,minmax
Mauritius,"(0, 0, 2)",54413.24042452044,0.22747898977204883,0.589489626710561,0.2164195669515634
Mexico,"(2, 0, 1)",86069907.04848948,0.303719136257015,0.43403423025647087,0.294530730023261
Morocco,"(0, 0, 1)",913343.5525116319,0.8734097883608308,0.4121152136946443,0.7099043030633222
Netherlands,"(2, 0, 2)",40748629.905521825,0.03836619650182381,0.9524507426203389,0.038134499517376796
New Zealand,"(0, 0, 2)",4394.773666098364,0.13739897858658756,0.7741008589273246,0.1360276130227741
Nicaragua,"(5, 0, 0)",2668328.015672837,0.16799516942161363,0.8780038049756201,0.162228849648952
Niger,"(1, 0, 0)",607181069.6293042,0.31917058021650546,0.7140516404904568,0.29032954695766655
North Macedonia,"(3, 0, 0)",2640679.855647831,0.24944487115843128,0.8628978532713404,0.23493443957264626
Oman,"(1, 0, 0)",42901035.843836844,0.3643548281605882,0.19273243241749005,0.33157055088679355
Pakistan,"(1, 0, 0)",52522376271.546074,0.060911074142161695,0.7665166828579909,0.059519788067972645
Paraguay,"(1, 0, 0)",3001145493.114372,0.19424456481015467,0.9919498926956414,0.19424456481015473
Peru,"(1, 0, 0)",62123637.447619505,0.6238842735391253,0.3090580647473687,0.38420456003117087
Poland,"(2, 0, 0)",3306604.472484592,0.10289571533448355,0.9845311651303299,0.10254141224171098
Portugal,"(2, 0, 0)",109481686.32331069,0.2240400072648629,0.9350549194589007,0.22024355391893213
Republic of Korea,"(0, 0, 2)",438627.4607951,0.22473609473952452,0.826029273446126,0.2245510441570523
Romania,"(1, 0, 0)",97322991.05925618,0.3612632170691462,0.724457447414824,0.3290858762758625
Russian Federation,"(1, 0, 0)",2311093017.8853316,0.2817656181274368,0.8534114919206379,0.2732150320611051
Saudi Arabia,"(0, 0, 2)",6199559.669541677,0.23516069115363505,0.7952729320363658,0.21408133344376656
Senegal,"(1, 0, 0)",177126550.59855464,0.10343981789876884,0.8356507368378682,0.10200073301407742
Singapore,"(1, 0, 0)",628296023.2569592,0.28130144312263644,0.8262112716648813,0.2544142133757531
Slovakia,"(4, 0, 0)",3885881.467478786,0.46854883919386864,0.7136959201701186,0.3571927146354159
Slovenia,"(2, 0, 0)",3425638.6485980786,0.2416311246083522,0.8691837550179228,0.2128403766842426
South Africa,"(1, 0, 0)",310519057.823527,0.19827022308920253,0.9577914445861626,0.19704878851162222
Spain,"(1, 0, 2)",598661351.874964,0.0724134769293408,0.8843806703377831,0.070216425577457
Sweden,"(0, 0, 1)",2387548.707800216,0.9632536457682844,0.8552149715827572,0.5621063513096447
Switzerland,"(2, 0, 0)",130316.42080390773,0.2900931121641267,0.9462733961838828,0.28859680680867394
Thailand,"(3, 0, 0)",234651910391.02032,0.04321147718217675,0.8182053918944912,0.04230428193906277
Togo,"(0, 0, 0)",780456.9122925333,0.8276132261215756,-0.425740622673679,0.4409615947920347
Turkey,"(1, 0, 0)",390816162.9274218,0.5144746649785392,0.6612101032592451,0.4315634078713224
Uganda,"(1, 0, 0)",53747950.49803387,0.14564262010814502,0.904034543355075,0.14232353411041032
United Kingdom,"(2, 0, 2)",9039489.101339124,0.04423094806201381,0.9275279541130491,0.0442144349405732
United Republic of Tanzania,"(2, 0, 0)",60980625.50033324,0.3313599593549784,0.81620033961706,0.25007920160758457
United States of America,"(2, 0, 2)",19743500120.133503,0.02661577625826202,0.645681994368825,0.026426384670729774
Uruguay,"(1, 0, 0)",3182470153.2175946,0.046653320438609744,0.5587024769109946,0.04470007568543566
Venezuela (Bolivarian Republic of),"(2, 0, 2)",6530898.445233904,231.90887926385116,0.7512036962593616,2.5434141999271733
Zambia,"(0, 0, 0)",558517.1536239035,0.7413490209135568,-0.9537303764531541,0.46280310663661284
Zimbabwe,"(1, 0, 0)",37302.85990476408,0.3195731729358976,0.9048595425654704,0.31847631392528064
